35,2556,Phatthalung,"96,943",50,0.05,South
36,2556,Phichit,"88,400",741,0.84,Center
37,2556,Phitsanulok,"133,046",414,0.31,Center
38,2556,Phetchaburi,"65,430",206,0.31,West
39,2556,Phetchabun,"166,827",616,0.37,Center
40,2556,Phrae,"88,066",314,0.36,North
41,2556,Phuket,"34,783",3,0.01,South
42,2556,Maha Sarakham,"167,090","2,663",1.59,East north
43,2556,Mukdahan,"59,443",387,0.65,East north
44,2556,Mae Hong Son,"41,578","4,038",9.71,North
45,2556,Yasothon,"92,976",579,0.62,East north
46,2556,Yala,"62,692",51,0.08,South
47,2556,Roi Et,"218,375","1,292",0.59,East north
48,2556,Ranong,"28,245",22,0.08,South
49,2556,Rayong,"59,035",14,0.02,East
50,2556,Ratchaburi,"116,442",0,0,West
51,2556,Lopburi,"117,420",97,0.08,Center
52,2556,Lampang,"132,581",788,0.59,North
53,2556,Lamphun,"80,222",431,0.54,North
54,2556,Loei,"106,108",591,0.56,East north
55,2556,Sisaket,"223,349","1,715",0.77,East north
56,2556,Sakon Nakhon,"189,032",126,0.07,East north
57,2556,Songkhla,"141,182",51,0.04,South
58,2556,Satun,"45,710",2,0,South
59,2556,Samut Prakan,"79,939",0,0,Center
60,2556,Samut Songkhram,"27,213",0,0,Center
61,2556,Samut Sakhon,"46,701",22,0.05,Center
62,2556,Sa Kaeo,"82,606",144,0.17,East
63,2556,Saraburi,"82,082",25,0.03,Center
64,2556,Sing Buri,"33,641",77,0.23,Center
65,2556,Sukhothai,"107,278",613,0.57,Center
66,2556,Suphan Buri,"151,385",37,0.02,Center
67,2556,Surat Thani,"135,962",178,0.13,South
68,2556,Surin,"227,825","2,068",0.91,East north
69,2556,Nong Khai,"73,872",904,1.22,East north
70,2556,Nong Bua Lamphu,"64,968",335,0.52,East north
71,2556,Ang Thong,"45,584",213,0.47,Center
72,2556,Amnat Charoen,"61,068",481,0.79,East north
73,2556,Udon Thani,"209,757","1,642",0.78,Center
74,2556,Uttaradit,"80,315",465,0.58,North
75,2556,Uthai Thani,"54,483",507,0.93,East north
76,2556,Ubon Ratchathani,"292,363",345,0.12,East north
1,2555,Krabi,"66,708",364,0.55,South
2,2555,Kanchanaburi,"107,689",56,0.05,West
3,2555,Kalasin,"153,819","1,419",0.92,East north
4,2555,Kamphaeng Phet,"112,786",181,0.16,Center
5,2555,Khon Kaen,"254,520","6,692",2.63,East north
6,2555,Chanthaburi,"70,737",379,0.54,East
7,2555,Chachoengsao,"86,972",75,0.09,East
8,2555,Chon Buri,"81,154",26,0.03,East
9,2555,Chai Nat,"64,213",110,0.17,Center
10,2555,Chaiyaphum,"179,491","2,799",1.56,East north
11,2555,Chumphon,"81,749",17,0.02,South
12,2555,Chiang Rai,"193,121","2,063",1.07,North
13,2555,Chiang Mai,"254,282","2,704",1.06,North
14,2555,Trang,"100,282",46,0.05,South
15,2555,Trat,"29,417",24,0.08,East
16,2555,Tak,"72,394","3,190",4.41,West
17,2555,Nakhon Nayok,"44,633",108,0.24,Center
18,2555,Nakhon Pathom,"121,431",303,0.25,Center
19,2555,Nakhon Phanom,"116,101","8,080",6.96,East north
20,2555,Nakhon Ratchasima,"393,605","5,129",1.3,East north
21,2555,Nakhon Si Thammarat,"232,835","4,606",1.98,South
22,2555,Nakhon Sawan,"168,157",406,0.24,Center
23,2555,Nonthaburi,"61,801",0,0,Center
24,2555,Narathiwat,"89,702",948,1.06,South
